年份,作物编号,p2面积/亩,p3面积/亩,差异(p3-p2)/亩
2024,1,125.0,125.0,0.0
2024,2,43.7,43.7,0.0
2024,3,56.111111111111114,56.111111111111114,0.0
2024,4,100.12121212121212,100.12121212121212,0.0
2024,5,25.0,25.0,0.0
2024,6,217.47002923976606,217.47002923976606,0.0
2024,7,156.05555555555554,156.05555555555554,0.0
2024,8,187.89473684210526,187.89473684210526,0.0
2024,9,48.25,48.25,0.0
2024,10,25.0,25.0,0.0
2024,11,14.285714285714286,14.285714285714286,0.0
2024,12,12.31578947368421,12.31578947368421,0.0
2024,13,16.69034632034632,16.69034632034632,0.0
2024,14,35.0,35.0,0.0
2024,15,21.05263157894737,21.05263157894737,0.0
2024,17,11.079999999999997,11.079999999999997,0.0
2024,18,13.440000000000001,13.440000000000001,0.0
2024,19,2.16,2.16,0.0
2024,20,15.0,15.0,0.0
2024,21,15.0,15.0,0.0
2024,22,5.7299999999999995,5.7299999999999995,0.0
2024,23,0.3333333333333333,0.3333333333333333,0.0
2024,24,1.0875,1.0875,0.0
2024,25,1.0909090909090908,1.0909090909090908,0.0
2024,26,1.0297297297297296,1.0297297297297296,0.0
2024,27,1.0390243902439025,1.0390243902439025,0.0
2024,28,11.0125,11.0125,0.0
2024,29,0.87,0.87,0.0
2024,30,0.6,0.6,0.0
2024,31,0.75,0.75,0.0
2024,32,0.3,0.3,0.0
2024,33,0.36000000000000004,0.36000000000000004,0.0
2024,34,0.32727272727272727,0.32727272727272727,0.0
2024,35,30.0,30.0,0.0
2024,36,25.0,25.0,0.0
2024,37,12.0,12.0,0.0
2024,38,1.7999999999999998,1.7999999999999998,0.0
2024,39,1.7999999999999998,1.7999999999999998,0.0
2024,40,1.7999999999999998,1.7999999999999998,0.0
2024,41,4.2,4.2,0.0
2025,1,40.57916180570837,43.13781187274624,2.558650067037874
2025,2,122.27114973271748,99.58335544576157,-22.687794286955906
2025,3,55.373500895923755,55.57277599813061,0.19927510220685463
2025,4,162.31904548233774,190.26818290488237,27.949137422544624
2025,5,34.93769103384069,29.820255579391976,-5.117435454448717
2025,6,218.21748272529825,246.99700000077402,28.77951727547577
2025,7,152.0,140.0,-12.0
2025,8,189.49298423689146,174.94651355500935,-14.546470681882113
2025,9,45.57500132325875,47.324507555075854,1.7495062318171009
2025,10,24.57786159015646,25.0,0.4221384098435408
2025,11,13.695256268744744,13.476624387105376,-0.21863188163936798
2025,12,9.485593156129195,9.107404785093804,-0.3781883710353906
2025,13,17.905206943392187,16.76556791602882,-1.1396390273633656
2025,17,41.973685922672466,47.07307691413331,5.099390991460844
2025,18,10.733403019557791,10.979428215645164,0.2460251960873734
2025,19,3.1922330695504337,2.540514658730471,-0.6517184108199627
2025,20,10.13171809073282,9.597244535680996,-0.5344735550518234
2025,21,15.974585888469761,15.180057804343615,-0.7945280841261457
2025,22,9.108807305592356,6.999512411225713,-2.1092948943666423
2025,23,0.352080641262956,0.5719412631984292,0.21986062193547318
2025,24,5.468153091888893,2.936963412252349,-2.531189679636544
2025,25,1.3396138385606717,1.4865062903514974,0.14689245179082566
2025,26,0.5960938214714024,0.8557995117590671,0.25970569028766466
2025,27,0.5668042069242429,0.8020667105290608,0.23526250360481782
2025,28,9.843900386948262,9.179722713290609,-0.6641776736576528
2025,29,1.4310559415091615,1.0310869949155608,-0.3999689465936007
2025,30,0.6328006506033277,1.4804671984293751,0.8476665478260474
2025,31,3.707149435418663,0.0,-3.707149435418663
2025,32,0.18461259256409904,0.0911888526002074,-0.09342373996389164
2025,33,2.2171965853726716,0.44573466306098253,-1.7714619223116892
2025,34,0.7101862034684969,1.1640181226926591,0.4538319192241622
2025,35,49.9929853321284,38.623709075559574,-11.369276256568824
2025,36,44.969029585591215,44.50110988387445,-0.46791970171676667
2025,37,11.879663708870028,11.622673847052567,-0.25698986181746086
2025,38,1.8573554597908741,1.8877464727881017,0.030391012997227573
2025,39,1.7146592366307578,1.5297003396239552,-0.18495889700680257
2025,40,1.8645383517498504,1.9070204963190527,0.042482144569202296
2025,41,4.065359837991467,4.1896936330501795,0.12433379505871223
2026,1,71.73066616224465,74.06601159490508,2.335345432660432
